"","dtime","bela_co2_flux","C.mod.flux","NEP_gC","DIC_pred","DIC_sat","oxy","oxysat","bela_co2_conc","bela_co2_sat"
"480",2019-08-13 11:50:00,2.04983467803196,-0.202620218381622,5.25140416888131,5.33897786096017,5.11170322830962,11.491,8.99995398567852,0.949440018027675,0.0138236581729636
"481",2019-08-13 12:00:00,1.99155785168097,-0.213968633646882,5.40978704737879,5.33521485788561,5.1095975877448,11.593,8.93219025078559,0.920255200437886,0.0137003060493694
"482",2019-08-13 12:10:00,1.97081495354288,-0.224135165226816,5.55445000864073,5.33327696170335,5.10755172171947,11.72,8.87669205062453,0.90582877171177,0.0135825453198769
"483",2019-08-13 12:20:00,1.94164134056454,-0.233619194803643,5.68511760886143,5.33095963035324,5.10556644819021,11.802,8.79654114775551,0.88864221638733,0.0134701934292203
"484",2019-08-13 12:30:00,1.9224753783328,-0.241826022970373,5.80154105157766,5.32900432010913,5.1032982736945,11.854,8.73330191284697,0.874558285814849,0.0133440899175254
"485",2019-08-13 12:40:00,1.90328846210454,-0.249733576333356,5.9034986616034,5.32717103774542,5.10129707867766,11.933,8.66668101863142,0.861475871006481,0.0132347808133394
"486",2019-08-13 12:50:00,1.87991957309798,-0.256225757598637,5.99079630695904,5.32497669941924,5.09894140480164,11.981,8.59181715524053,0.846018748751402,0.0131083929530735
"487",2019-08-13 13:00:00,1.83826550445577,-0.263006040516068,6.06326776851665,5.32213692392353,5.09720280540628,12.003,8.55419189377814,0.825878551597196,0.0130166591907817
"488",2019-08-13 13:10:00,1.8089143826103,-0.269426594916639,6.12077505669324,5.31986629178744,5.09538884726125,12.076,8.49312175340718,0.810220193104879,0.0129223175217788
"489",2019-08-13 13:20:00,1.79203572285899,-0.27446942687176,6.16320867390843,5.31806956188722,5.09321832427045,12.134,8.44166032620439,0.798289479224457,0.0128112275066859
"490",2019-08-13 13:30:00,1.75498722236158,-0.279692088383089,6.19048782328519,5.3154724620004,5.09160252086351,12.18,8.38217310202893,0.78075900589138,0.0127297722907167
"491",2019-08-13 13:40:00,1.77153232897329,-0.284139008440675,6.20256056243607,5.31551163042414,5.08969983977754,12.223,8.33494556264505,0.781749312722162,0.0126351866547122
"492",2019-08-13 13:50:00,1.72611803196828,-0.28810164690581,6.19940390235606,5.31237540961255,5.08786165603769,12.218,8.28247926749681,0.760987831165532,0.0125451474890399
"493",2019-08-13 14:00:00,1.6943687537154,-0.29222358901002,6.18102385122267,5.31010347789056,5.08644369298695,12.24,8.24338659330391,0.746293016220115,0.0124765743582037
"494",2019-08-13 14:10:00,1.69808460496627,-0.295891764696413,6.14745540297099,5.30969931961896,5.08502228245715,12.267,8.20313412282039,0.744151319469948,0.0124085924820794
