"","code","MinFrom0","SpC_corr","DOC_conc","Delta.13C","AF_corr","doc_13C","delCO2","co2AF_corr","DIC13","removed_c"
"60","b_g2_up",20.5,1.5486798679868,3.56,-1.904,1.38522189253899e-05,4.93138993743882e-05,-24.15974545,-1.44533102483715e-05,-0.000995833076112794,0.00216308591203532
"61","b_g2_up",25.0833333333333,1.78314081408141,1.94,-7.859,-5.15934512976546e-05,-0.00010009129551745,-22.53877207,3.36856157351004e-06,0.000232093892414842,0.00264743531563375
"62","b_g2_up",35,2.29042904290429,5.22,-3.996,-9.13795145576074e-06,-4.77001065990711e-05,-22.01814851,9.09244674250458e-06,0.000626469580558565,0.00331974159646234
"63","b_g2_up",39,5.4950495049505,1.87,209.151,0.00232777399570503,0.0043529373719684,-21.38417605,1.60624328723151e-05,0.00110670162490251,0.00349713334938945
"64","b_g2_up",42,8.64851485148515,1.91,405.198,0.00446747423185001,0.00853287578283353,-19.79692247,3.35125005072809e-05,0.00230901128495165,0.00382214543357383
"65","b_g2_up",45,15.8019801980198,1.9,770.134,0.00842584769735901,0.0160091106249821,-18.72967026,4.52453918445925e-05,0.00311740749809243,0.00656514680076046
"66","b_g2_up",48,25.9554455445545,1.8,338.791,0.00374373377878895,0.0067387208018201,-19.2812503,3.91816034353756e-05,0.00269961247669738,0.030340487118972
"67","b_g2_up",51,40.1089108910891,1.76,340.563,0.00376305983984809,0.00662298531813264,-17.48693162,5.89071513906175e-05,0.00405870273081354,0.0506754588119947
"68","b_g2_up",54,60.2623762376238,1.78,3120.431,0.0331755425330855,0.0590524657088921,-16.72625862,6.72692477205455e-05,0.00463485116794558,0.0270366432019989
"69","b_g2_up",57,78.4158415841584,7.39,1017.524,0.0110911732677238,0.0819637704484788,-9.715322307,0.000144333980232241,0.00994461123800139,0.0300588603860332
"70","b_g2_up",60,99.5693069306931,1.92,4521.786,0.0473466716312773,0.0909056095320525,-12.01516758,0.000119055233847348,0.00820290561208225,0.0513362575117948
"71","b_g2_up",63,108.722772277228,5.48,1727.189,0.018657165857865,0.1022412689011,-10.09995699,0.000140106358590778,0.00965332810690459,0.0530769772092249
"72","b_g2_up",66.1666666666667,117.884763476348,2.06,4455.135,0.0466821919411335,0.096165315398735,-6.096079427,0.000184112266971365,0.0126853351943271,0.0722414895674759
"73","b_g2_up",70,116.080858085809,1.83,4652.901,0.0486510961997143,0.0890315060454772,-5.294618133,0.000192920515549163,0.0132922235213374,0.0767982912199636
"74","b_g2_up",75,115.336633663366,3.65,294.919,0.00326500827280408,0.0119172801957349,-5.503152106,0.000190628693122214,0.0131343169561206,0.15284933932336
"75","b_g2_up",80,110.592409240924,1.75,556.308,0.00611039887858499,0.0106931980375237,-0.772875716,0.000242612591137961,0.0167160075294055,0.147295958020939
"76","b_g2_up",85,100.848184818482,1.78,1631.838,0.017647410699345,0.0314123910448341,1.793998674,0.000270819255106346,0.0186594466768272,0.11265644441014
"77","b_g2_up",90,91.1039603960396,1.96,2609.883,0.0279060549532921,0.0546958677084524,-5.607032875,0.000189487022538435,0.0130556558528982,0.0754526471430327
"78","b_g2_up",95,81.3597359735974,1.82,2275.614,0.0244243949141046,0.0444523987436704,-0.415391721,0.000246540979112277,0.0169866734608359,0.0717757955043258
"79","b_g2_up",100,73.6155115511551,2.01,1748.606,0.0188836805253754,0.0379561978560045,-4.590464569,0.000200659199748654,0.0138254188626823,0.0672088186456457
"80","b_g2_up",110,60.1270627062706,1.8,1357.185,0.0147270886994822,0.026508759659068,-5.038616231,0.0001957340037453,0.0134860728580512,0.0593870442070329
"81","b_g2_up",120,48.6386138613861,NA,NA,NA,NA,-19.39398504,3.79422463019936e-05,0.00261422077020736,0.0451168980169805
"82","b_g2_up",150,28.1732673267327,1.77,482.735,0.00531117114437692,0.00940077292554715,-7.479975517,0.000168902553286988,0.0116373859214735,0.0308467518269281
"83","b_g2_up",180.5,18.733498349835,1.9,121.879,0.00137227337159081,0.00260731940602253,-10.30946758,0.000137803557017972,0.00949466507853829,0.0241548210937417
"84","b_g2_up",213,10.3960396039604,2.21,73.585,0.000842728894762302,0.00186243085742469,-12.24842958,0.000116491262691558,0.00802624799944831,0.0129890542910902
