time,white_co2,bela_co2,white_temp,bela_temp
8/10/19 23:20:00,3945.81,3640.51,19.17,21.17
8/10/19 23:30:00,3978.13,3710.86,19.09,21.06
8/10/19 23:40:00,4011.8,3746.93,19.04,20.95
8/10/19 23:50:00,4030.08,3789.73,18.95,20.88
8/11/19 0:00:00,4061.35,3841.18,18.87,20.77
8/11/19 0:10:00,4085.53,3868.88,18.78,20.64
8/11/19 0:20:00,4100.67,3900.08,18.7,20.55
8/11/19 0:30:00,4102.65,3904.83,18.62,20.47
8/11/19 0:40:00,4121.27,3949.07,18.53,20.37
8/11/19 0:50:00,4130.4,3958.17,18.45,20.26
8/11/19 1:00:00,4141.41,3968.37,18.38,20.18
8/11/19 1:10:00,4140.06,3974.91,18.29,20.1
8/11/19 1:20:00,4132.9,3966,18.2,20.01
8/11/19 1:30:00,4123.47,3988.05,18.13,19.93
8/11/19 1:40:00,4130.21,3977.92,18.09,19.87
8/11/19 1:50:00,4124.67,3966.15,18.01,19.79
8/11/19 2:00:00,4118.95,3956.91,17.95,19.71
8/11/19 2:10:00,4113.46,3963.68,17.89,19.62
8/11/19 2:20:00,4102.13,3945.17,17.82,19.57
8/11/19 2:30:00,4079.6,3939.3,17.76,19.49
8/11/19 2:40:00,4075.32,3942.43,17.7,19.41
8/11/19 2:50:00,4072.48,3937.33,17.67,19.33
8/11/19 3:00:00,4064.74,3930.58,17.61,19.25
8/11/19 3:10:00,4059.45,3927.23,17.52,19.2
8/11/19 3:20:00,4044.08,3904.91,17.48,19.13
8/11/19 3:30:00,4041.08,3890.29,17.46,19.07
8/11/19 3:40:00,4028.12,3893.19,17.39,19
8/11/19 3:50:00,4004.2,3883.32,17.33,18.92
8/11/19 4:00:00,4005.81,3882.29,17.29,18.87
8/11/19 4:10:00,3990.25,3862.35,17.23,18.81
8/11/19 4:20:00,3983.17,3840.85,17.18,18.76
8/11/19 4:30:00,3971.08,3842.18,17.13,18.69
8/11/19 4:40:00,3960.97,3835.53,17.11,18.64
8/11/19 4:50:00,3954.76,3825.33,17.07,18.59
8/11/19 5:00:00,3943.83,3811.41,17,18.57
8/11/19 5:10:00,3923.3,3787.34,16.97,18.52
